presolving:
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 0 aggregations, 18 fixings, 0 bound changes
(round 1, medium)     18 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 192 clqs
(round 2, fast)       18 del vars, 1 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 192 clqs
(round 3, exhaustive) 18 del vars, 7 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 192 clqs
(round 4, exhaustive) 18 del vars, 7 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 0 chg coeffs, 186 upgd conss, 0 impls, 192 clqs
(round 5, medium)     52 del vars, 7 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 34 chg coeffs, 186 upgd conss, 0 impls, 192 clqs
(round 6, fast)       68 del vars, 7 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 34 chg coeffs, 186 upgd conss, 0 impls, 188 clqs
(round 7, exhaustive) 68 del vars, 13 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 34 chg coeffs, 186 upgd conss, 0 impls, 188 clqs
   (0.0s) probing: 51/432 (11.8%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (8 rounds: 8 fast, 6 medium, 4 exhaustive):
 68 deleted vars, 13 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 6 changed sides, 34 changed coefficients
 0 implications, 188 cliques
presolved problem has 432 variables (432 bin, 0 int, 0 impl, 0 cont) and 180 constraints
    180 constraints of type <setppc>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.1s|     1 |     0 |  1603 |     - |  5396k |   0 | 432 | 180 | 180 |   0 |  0 |   0 |   0 | 7.505605e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |  1639 |     - |    17M |   0 | 432 | 180 | 181 |   1 |  1 |   0 |   0 | 7.492818e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1665 |     - |    26M |   0 | 432 | 180 | 182 |   2 |  2 |   0 |   0 | 7.490096e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1684 |     - |    32M |   0 | 432 | 180 | 184 |   4 |  3 |   0 |   0 | 7.487994e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1708 |     - |    36M |   0 | 432 | 180 | 187 |   7 |  4 |   0 |   0 | 7.486249e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1755 |     - |    41M |   0 | 432 | 180 | 189 |   9 |  5 |   0 |   0 | 7.483085e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1782 |     - |    47M |   0 | 432 | 180 | 193 |  13 |  6 |   0 |   0 | 7.477429e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1804 |     - |    50M |   0 | 432 | 180 | 195 |  15 |  7 |   0 |   0 | 7.474315e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1850 |     - |    55M |   0 | 432 | 180 | 196 |  16 |  8 |   0 |   0 | 7.470574e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1870 |     - |    60M |   0 | 432 | 180 | 202 |  22 |  9 |   0 |   0 | 7.469835e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1899 |     - |    67M |   0 | 432 | 180 | 206 |  26 | 10 |   0 |   0 | 7.469151e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1923 |     - |    67M |   0 | 432 | 180 | 209 |  29 | 11 |   0 |   0 | 7.468063e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1937 |     - |    67M |   0 | 432 | 180 | 211 |  31 | 12 |   0 |   0 | 7.467431e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1968 |     - |    67M |   0 | 432 | 180 | 213 |  33 | 13 |   0 |   0 | 7.466031e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1985 |     - |    67M |   0 | 432 | 180 | 215 |  35 | 14 |   0 |   0 | 7.465608e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.6s|     1 |     0 |  2005 |     - |    67M |   0 | 432 | 180 | 217 |  37 | 15 |   0 |   0 | 7.465093e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2031 |     - |    67M |   0 | 432 | 180 | 220 |  40 | 16 |   0 |   0 | 7.463375e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2042 |     - |    67M |   0 | 432 | 180 | 217 |  41 | 17 |   0 |   0 | 7.463053e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2060 |     - |    67M |   0 | 432 | 180 | 220 |  44 | 18 |   0 |   0 | 7.462438e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2062 |     - |    67M |   0 | 432 | 180 | 221 |  45 | 19 |   0 |   0 | 7.462437e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2075 |     - |    67M |   0 | 432 | 180 | 223 |  47 | 20 |   0 |   0 | 7.462024e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2076 |     - |    67M |   0 | 432 | 180 | 224 |  48 | 21 |   0 |   0 | 7.462023e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2100 |     - |    67M |   0 | 432 | 180 | 228 |  52 | 22 |   0 |   0 | 7.461350e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2103 |     - |    67M |   0 | 432 | 180 | 224 |  53 | 23 |   0 |   0 | 7.461316e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2115 |     - |    67M |   0 | 432 | 180 | 227 |  56 | 24 |   0 |   0 | 7.460728e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2118 |     - |    67M |   0 | 432 | 180 | 229 |  58 | 25 |   0 |   0 | 7.460720e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2123 |     - |    67M |   0 | 432 | 180 | 231 |  60 | 26 |   0 |   0 | 7.460653e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2142 |     - |    67M |   0 | 432 | 180 | 236 |  65 | 27 |   0 |   0 | 7.459935e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2143 |     - |    67M |   0 | 432 | 180 | 237 |  66 | 28 |   0 |   0 | 7.459929e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2145 |     - |    67M |   0 | 432 | 180 | 226 |  67 | 29 |   0 |   0 | 7.459926e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.8s|     1 |     0 |  2147 |     - |    67M |   0 | 432 | 180 | 227 |  68 | 30 |   0 |   0 | 7.459907e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2148 |     - |    67M |   0 | 432 | 180 | 228 |  69 | 31 |   0 |   0 | 7.459907e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2151 |     - |    67M |   0 | 432 | 180 | 229 |  70 | 32 |   0 |   0 | 7.459900e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2155 |     - |    67M |   0 | 432 | 180 | 232 |  73 | 33 |   0 |   0 | 7.459843e+03 |      --      |    Inf | unknown
  0.9s|     1 |     0 |  2158 |     - |    67M |   0 | 432 | 180 | 233 |  74 | 34 |   0 |   0 | 7.459833e+03 |      --      |    Inf | unknown
  0.9s|     1 |     0 |  2161 |     - |    67M |   0 | 432 | 180 | 225 |  75 | 35 |   0 |   0 | 7.459827e+03 |      --      |    Inf | unknown
  0.9s|     1 |     0 |  2170 |     - |    67M |   0 | 432 | 180 | 226 |  76 | 36 |   0 |   0 | 7.459808e+03 |      --      |    Inf | unknown
d 0.9s|     1 |     0 |  2170 |     - |distribu|   0 | 432 | 180 | 226 |   0 | 37 |   0 |   0 | 7.459808e+03 | 2.708819e+03 | 175.39%| unknown
d 0.9s|     1 |     0 |  2835 |     - |distribu|   0 | 432 | 180 | 226 |   0 | 37 |   0 |   0 | 7.459808e+03 | 2.782125e+03 | 168.13%| unknown
d 1.0s|     1 |     0 |  3265 |     - |distribu|   0 | 432 | 180 | 226 |   0 | 37 |   0 |   0 | 7.459808e+03 | 3.117631e+03 | 139.28%| unknown
d 1.0s|     1 |     0 |  3349 |     - |distribu|   0 | 432 | 180 | 226 |   0 | 37 |   0 |   0 | 7.459808e+03 | 3.223096e+03 | 131.45%| unknown
  1.0s|     1 |     0 |  3409 |     - |    67M |   0 | 432 | 180 | 226 |  76 | 37 |   0 |   0 | 7.459808e+03 | 3.223096e+03 | 131.45%| unknown
* 1.0s|     1 |     0 |  3409 |     - |strongbr|   0 | 432 | 180 | 226 |  76 | 38 |   0 |   5 | 7.459808e+03 | 3.376341e+03 | 120.94%| unknown
* 1.1s|     1 |     0 |  3409 |     - |strongbr|   0 | 432 | 180 | 226 |  76 | 38 |   0 |  11 | 7.459808e+03 | 3.379957e+03 | 120.71%| unknown
* 1.1s|     1 |     0 |  3409 |     - |strongbr|   0 | 432 | 180 | 226 |  76 | 38 |   0 |  14 | 7.459808e+03 | 3.573475e+03 | 108.76%| unknown
